,ce,cer,colormode,font,language,ptsize,we,wer
0,209,0.16950527169505272,BW,courier-r,ces,10,192,1.0
1,195,0.15815085158150852,BW,courier-r,ces,12,192,1.0
2,145,0.11759935117599352,BW,courier-r,ces,14,186,0.96875
3,197,0.1588709677419355,BW,courier-r,ces,16,172,0.8775510204081632
4,138,0.11102172164119067,BW,courier-r,ces,18,145,0.7178217821782178
5,196,0.15896188158961883,BW,courier-r,ces,20,173,0.865
6,168,0.1362530413625304,BW,courier-r,ces,22,104,0.5416666666666666
7,74,0.06001622060016221,BW,courier-r,ces,24,52,0.2708333333333333
8,23,0.0186536901865369,BW,courier-r,ces,26,21,0.109375
9,149,0.12084347120843471,BW,fell_dwpica-r,ces,10,192,1.0
10,146,0.11841038118410381,BW,fell_dwpica-r,ces,12,189,0.984375
11,136,0.11030008110300081,BW,fell_dwpica-r,ces,14,180,0.9375
12,145,0.11759935117599352,BW,fell_dwpica-r,ces,16,159,0.828125
13,126,0.10218978102189781,BW,fell_dwpica-r,ces,18,126,0.65625
14,151,0.12197092084006463,BW,fell_dwpica-r,ces,20,88,0.4583333333333333
15,50,0.040551500405515,BW,fell_dwpica-r,ces,22,40,0.20833333333333334
16,42,0.0340632603406326,BW,fell_dwpica-r,ces,24,44,0.22916666666666666
17,32,0.025952960259529603,BW,fell_dwpica-r,ces,26,31,0.16145833333333334
18,144,0.11678832116788321,BW,fell_dwpica-i,ces,10,192,1.0
19,124,0.10056772100567721,BW,fell_dwpica-i,ces,12,191,0.9947916666666666
20,59,0.047850770478507706,BW,fell_dwpica-i,ces,14,189,0.984375
21,90,0.072992700729927,BW,fell_dwpica-i,ces,16,187,0.9739583333333334
22,123,0.09975669099756691,BW,fell_dwpica-i,ces,18,188,0.9791666666666666
23,127,0.1030008110300081,BW,fell_dwpica-i,ces,20,185,0.9635416666666666
24,135,0.10948905109489052,BW,fell_dwpica-i,ces,22,173,0.9010416666666666
25,172,0.13406079501169135,BW,fell_dwpica-i,ces,24,156,0.8125
26,177,0.1435523114355231,BW,fell_dwpica-i,ces,26,165,0.859375
27,197,0.1597729115977291,BW,consolas-r,ces,10,176,0.9166666666666666
28,191,0.1549067315490673,BW,consolas-r,ces,12,146,0.7564766839378239
29,141,0.11435523114355231,BW,consolas-r,ces,14,115,0.5867346938775511
30,160,0.129764801297648,BW,consolas-r,ces,16,95,0.4896907216494845
31,133,0.10786699107866991,BW,consolas-r,ces,18,84,0.43523316062176165
32,94,0.07623682076236821,BW,consolas-r,ces,20,69,0.359375
33,13,0.010543390105433901,BW,consolas-r,ces,22,11,0.057291666666666664
34,2,0.0016220600162206002,BW,consolas-r,ces,24,2,0.010416666666666666
35,19,0.015409570154095702,BW,consolas-r,ces,26,18,0.09375
36,168,0.1362530413625304,BW,comicsans-r,ces,10,191,0.9947916666666666
37,21,0.0170316301703163,BW,comicsans-r,ces,12,159,0.828125
38,148,0.12003244120032441,BW,comicsans-r,ces,14,125,0.6510416666666666
39,159,0.12895377128953772,BW,comicsans-r,ces,16,94,0.4895833333333333
40,158,0.1275221953188055,BW,comicsans-r,ces,18,103,0.5255102040816326
41,51,0.040702314445331206,BW,comicsans-r,ces,20,26,0.13541666666666666
42,58,0.04700162074554295,BW,comicsans-r,ces,22,53,0.2760416666666667
43,21,0.016962843295638127,BW,comicsans-r,ces,24,16,0.08333333333333333
44,110,0.08513931888544891,BW,comicsans-r,ces,26,54,0.27692307692307694
45,105,0.0851581508515815,BW,times-r,ces,10,190,0.9895833333333334
46,145,0.11759935117599352,BW,times-r,ces,12,192,1.0
47,160,0.129764801297648,BW,times-r,ces,14,134,0.6979166666666666
48,162,0.13138686131386862,BW,times-r,ces,16,149,0.7028301886792453
49,136,0.11030008110300081,BW,times-r,ces,18,93,0.484375
50,137,0.1111111111111111,BW,times-r,ces,20,103,0.5364583333333334
51,37,0.029959514170040485,BW,times-r,ces,22,31,0.16145833333333334
52,82,0.06634304207119741,BW,times-r,ces,24,64,0.3333333333333333
53,23,0.0186536901865369,BW,times-r,ces,26,24,0.125
54,181,0.1467964314679643,BW,grandhotel-r,ces,10,192,1.0
55,205,0.16626115166261152,BW,grandhotel-r,ces,12,192,1.0
56,170,0.137875101378751,BW,grandhotel-r,ces,14,192,1.0
57,177,0.1435523114355231,BW,grandhotel-r,ces,16,192,1.0
58,184,0.1492295214922952,BW,grandhotel-r,ces,18,192,1.0
59,171,0.1386861313868613,BW,grandhotel-r,ces,20,192,1.0
60,201,0.1630170316301703,BW,grandhotel-r,ces,22,192,1.0
61,164,0.1330089213300892,BW,grandhotel-r,ces,24,192,1.0
62,136,0.11030008110300081,BW,grandhotel-r,ces,26,192,1.0
63,225,0.18248175182481752,BW,times-i,ces,10,192,1.0
64,236,0.19140308191403083,BW,times-i,ces,12,190,0.9895833333333334
65,96,0.07785888077858881,BW,times-i,ces,14,179,0.9322916666666666
66,122,0.0989456609894566,BW,times-i,ces,16,179,0.9322916666666666
67,177,0.1435523114355231,BW,times-i,ces,18,157,0.8177083333333334
68,155,0.12570965125709652,BW,times-i,ces,20,118,0.6145833333333334
69,169,0.13121118012422361,BW,times-i,ces,22,145,0.7552083333333334
70,144,0.11650485436893204,BW,times-i,ces,24,88,0.4583333333333333
71,124,0.09967845659163987,BW,times-i,ces,26,78,0.40625
72,175,0.14193025141930252,BW,abril-r,ces,10,192,1.0
73,147,0.1192214111922141,BW,abril-r,ces,12,192,1.0
74,185,0.15004055150040552,BW,abril-r,ces,14,190,0.9895833333333334
75,218,0.17680454176804541,BW,abril-r,ces,16,189,0.984375
76,187,0.1516626115166261,BW,abril-r,ces,18,192,1.0
77,219,0.17761557177615572,BW,abril-r,ces,20,178,0.9270833333333334
78,219,0.17761557177615572,BW,abril-r,ces,22,185,0.9635416666666666
79,169,0.13651050080775445,BW,abril-r,ces,24,154,0.7264150943396226
80,144,0.11267605633802817,BW,abril-r,ces,26,157,0.6514522821576764
81,117,0.0948905109489051,BW,gillsans-i,ces,10,190,0.9895833333333334
82,28,0.0227088402270884,BW,gillsans-i,ces,12,174,0.90625
83,106,0.08596918085969181,BW,gillsans-i,ces,14,156,0.8125
84,175,0.14193025141930252,BW,gillsans-i,ces,16,149,0.7760416666666666
85,163,0.1321978913219789,BW,gillsans-i,ces,18,88,0.45595854922279794
86,136,0.11030008110300081,BW,gillsans-i,ces,20,87,0.453125
87,40,0.032441200324412,BW,gillsans-i,ces,22,39,0.203125
88,13,0.010526315789473684,BW,gillsans-i,ces,24,12,0.0625
89,14,0.011326860841423949,BW,gillsans-i,ces,26,12,0.0625
90,137,0.1111111111111111,BW,arial-r,ces,10,186,0.96875
91,161,0.1305758313057583,BW,arial-r,ces,12,149,0.7760416666666666
92,171,0.1386861313868613,BW,arial-r,ces,14,145,0.7552083333333334
93,195,0.15751211631663975,BW,arial-r,ces,16,134,0.6979166666666666
94,104,0.08434712084347121,BW,arial-r,ces,18,78,0.40625
95,30,0.024291497975708502,BW,arial-r,ces,20,21,0.109375
96,32,0.025952960259529603,BW,arial-r,ces,22,24,0.125
97,28,0.0227088402270884,BW,arial-r,ces,24,26,0.13541666666666666
98,22,0.017842660178426603,BW,arial-r,ces,26,22,0.11458333333333333
99,164,0.1330089213300892,BW,consolas-i,ces,10,191,0.9947916666666666
100,90,0.072992700729927,BW,consolas-i,ces,12,157,0.8177083333333334
101,171,0.1386861313868613,BW,consolas-i,ces,14,122,0.6224489795918368
102,171,0.1386861313868613,BW,consolas-i,ces,16,159,0.8112244897959183
103,129,0.10462287104622871,BW,consolas-i,ces,18,123,0.6373056994818653
104,109,0.08833063209076175,BW,consolas-i,ces,20,72,0.375
105,122,0.0989456609894566,BW,consolas-i,ces,22,80,0.4166666666666667
106,57,0.046228710462287104,BW,consolas-i,ces,24,49,0.2552083333333333
107,150,0.12165450121654502,BW,consolas-i,ces,26,90,0.46875
108,206,0.16707218167072183,BW,museosans-r,ces,10,185,0.9635416666666666
109,97,0.0786699107866991,BW,museosans-r,ces,12,164,0.8541666666666666
110,161,0.1305758313057583,BW,museosans-r,ces,14,134,0.6979166666666666
111,136,0.11030008110300081,BW,museosans-r,ces,16,114,0.59375
112,137,0.10770440251572327,BW,museosans-r,ces,18,80,0.41450777202072536
113,89,0.07218167072181671,BW,museosans-r,ces,20,67,0.3489583333333333
114,9,0.007293354943273906,BW,museosans-r,ces,22,8,0.041666666666666664
115,16,0.012976480129764802,BW,museosans-r,ces,24,19,0.09895833333333333
116,10,0.008110300081103,BW,museosans-r,ces,26,10,0.052083333333333336
117,103,0.08353609083536091,BW,gillsans-r,ces,10,190,0.9895833333333334
118,228,0.18491484184914841,BW,gillsans-r,ces,12,190,0.9895833333333334
119,114,0.09245742092457421,BW,gillsans-r,ces,14,154,0.8020833333333334
120,155,0.12570965125709652,BW,gillsans-r,ces,16,143,0.7447916666666666
121,187,0.1504424778761062,BW,gillsans-r,ces,18,138,0.711340206185567
122,147,0.11902834008097166,BW,gillsans-r,ces,20,81,0.421875
123,72,0.05825242718446602,BW,gillsans-r,ces,22,53,0.2760416666666667
124,13,0.010517799352750809,BW,gillsans-r,ces,24,11,0.05699481865284974
125,20,0.016220600162206,BW,gillsans-r,ces,26,20,0.10416666666666667
